iter	Passed	Remaining
601	1739	1150
602	1742	1147
603	1745	1144
604	1748	1141
605	1751	1138
606	1754	1135
607	1757	1133
608	1760	1130
609	1762	1127
610	1765	1124
611	1768	1121
612	1771	1118
613	1774	1115
614	1777	1112
615	1780	1109
616	1782	1106
617	1785	1103
618	1788	1100
619	1791	1097
620	1794	1094
621	1796	1092
622	1799	1089
623	1802	1086
624	1805	1083
625	1807	1080
626	1811	1077
627	1814	1074
628	1816	1071
629	1819	1068
630	1843	1077
631	1846	1075
632	1849	1072
633	1853	1069
634	1856	1066
635	1858	1063
636	1861	1060
637	1864	1057
638	1867	1055
639	1872	1053
640	1875	1050
641	1878	1047
642	1881	1044
643	1887	1043
644	1891	1041
645	1896	1039
646	1901	1037
647	1904	1034
648	1906	1031
649	1909	1028
650	1912	1025
651	1917	1023
652	1920	1020
653	1924	1018
654	1928	1015
655	1931	1013
656	1935	1010
657	1937	1007
658	1941	1004
659	1945	1002
660	1949	999
661	1952	996
662	1955	993
663	1958	990
664	1960	987
665	1963	984
666	1966	981
667	1969	979
668	1973	976
669	1978	974
670	1981	971
671	1984	968
672	1988	966
673	1991	963
674	1995	960
675	2000	958
676	2004	956
677	2007	953
678	2010	950
679	2013	947
680	2016	944
681	2020	941
682	2023	939
683	2027	936
684	2031	934
685	2034	931
686	2037	928
687	2040	925
688	2044	922
689	2048	920
690	2051	917
691	2054	914
692	2057	911
693	2061	909
694	2066	906
695	2069	903
696	2072	900
697	2076	898
698	2081	896
699	2086	894
700	2091	891
701	2095	889
702	2098	886
703	2102	883
704	2106	881
705	2110	878
706	2114	876
707	2117	873
708	2120	870
709	2123	867
710	2126	864
711	2131	862
712	2135	859
713	2139	856
714	2142	854
715	2146	851
716	2150	848
717	2155	846
718	2158	843
719	2161	840
720	2164	837
721	2166	834
722	2169	831
723	2172	828
724	2176	825
725	2180	822
726	2183	819
727	2185	816
728	2188	813
729	2191	810
730	2195	807
731	2198	804
732	2202	802
733	2204	799
734	2207	795
735	2210	792
736	2214	790
737	2217	787
738	2220	784
739	2224	781
740	2226	778
741	2230	775
742	2233	772
743	2236	769
744	2239	766
745	2242	763
746	2244	760
747	2248	757
748	2253	755
749	2256	752
750	2260	749
751	2262	746
752	2266	743
753	2270	740
754	2272	737
755	2276	734
756	2279	731
757	2283	729
758	2287	726
759	2290	723
760	2294	720
761	2297	717
762	2300	714
763	2303	711
764	2307	708
765	2311	706
766	2315	703
767	2319	700
768	2322	697
769	2325	694
770	2329	691
771	2333	689
772	2337	686
773	2340	683
774	2343	680
775	2345	677
776	2349	674
777	2353	671
778	2357	668
779	2360	665
780	2364	662
781	2367	659
782	2370	657
783	2374	654
784	2377	651
785	2381	648
786	2385	645
787	2389	642
788	2392	639
789	2395	636
790	2400	634
791	2404	631
792	2408	628
793	2410	625
794	2414	622
795	2417	619
796	2421	616
797	2425	613
798	2430	611
799	2433	608
800	2437	605
801	2440	602
802	2443	599
803	2447	596
804	2451	593
805	2454	590
806	2458	587
807	2461	585
808	2466	582
809	2469	579
810	2473	576
811	2477	573
812	2481	570
813	2485	567
814	2488	564
815	2492	562
816	2496	559
817	2499	556
818	2502	552
819	2504	549
820	2507	546
821	2510	543
822	2513	540
823	2516	537
824	2518	534
825	2522	531
826	2525	528
827	2528	525
828	2532	522
829	2535	519
830	2539	516
831	2543	513
832	2546	510
833	2549	507
834	2553	504
835	2556	501
836	2559	498
837	2562	495
838	2565	492
839	2568	489
840	2572	486
841	2576	483
842	2580	480
843	2583	477
844	2588	474
845	2590	471
846	2593	468
847	2597	465
848	2600	462
849	2603	459
850	2606	456
851	2609	453
852	2611	450
853	2614	446
854	2618	444
855	2622	441
856	2625	438
857	2628	435
858	2632	432
859	2635	429
860	2639	426
861	2642	423
862	2645	420
863	2649	417
864	2653	414
865	2657	411
866	2662	408
867	2668	405
868	2671	402
869	2675	399
870	2678	396
871	2683	393
872	2686	390
873	2690	387
874	2693	384
875	2698	381
876	2701	378
877	2704	375
878	2707	372
879	2710	369
880	2714	366
881	2717	363
882	2721	360
883	2724	357
884	2727	354
885	2730	351
886	2734	348
887	2737	345
888	2741	342
889	2745	339
890	2747	336
891	2750	333
892	2753	329
893	2756	326
894	2791	327
895	2794	324
896	2798	321
897	2802	318
898	2807	315
899	2810	312
900	2813	309
901	2817	306
902	2820	303
903	2824	299
904	2827	296
905	2831	293
906	2835	290
