iter	Logloss	Accuracy
385	0.2644949515	0.9086826347
386	0.2640026401	0.9086826347
387	0.2639476974	0.9086826347
388	0.2636118116	0.9101796407
389	0.2628712032	0.9101796407
390	0.2627320393	0.9101796407
391	0.2623286294	0.9101796407
392	0.2617677869	0.9101796407
393	0.2611560847	0.9101796407
394	0.2608313961	0.9101796407
395	0.2603952885	0.9101796407
396	0.2602947062	0.9101796407
397	0.2597627172	0.9101796407
398	0.2596065801	0.9101796407
399	0.2595423553	0.9116766467
400	0.259483807	0.9116766467
401	0.2593402713	0.9116766467
402	0.2591148007	0.9116766467
403	0.2589805692	0.9116766467
404	0.2588899071	0.9116766467
405	0.258414595	0.9131736527
406	0.2579933708	0.9146706587
407	0.2576120754	0.9146706587
408	0.2573523575	0.9146706587
409	0.2572755046	0.9146706587
410	0.256877067	0.9176646707
411	0.2567812983	0.9161676647
412	0.2562087316	0.9176646707
413	0.2558420049	0.9161676647
414	0.255365374	0.9161676647
415	0.2553291875	0.9161676647
416	0.2551954148	0.9161676647
417	0.2548738896	0.9176646707
418	0.2548337477	0.9176646707
419	0.2545168889	0.9176646707
420	0.25448912	0.9176646707
421	0.2544236848	0.9176646707
422	0.2541059582	0.9176646707
423	0.2539580882	0.9176646707
424	0.2535691728	0.9176646707
425	0.2534032362	0.9176646707
426	0.2529053165	0.9191616766
427	0.2524363157	0.9191616766
428	0.2524112901	0.9191616766
429	0.2520043288	0.9191616766
430	0.2517401377	0.9191616766
431	0.2513863472	0.9191616766
432	0.2504186315	0.9206586826
433	0.2496300087	0.9206586826
434	0.2491072519	0.9206586826
435	0.2490606245	0.9206586826
436	0.248759823	0.9206586826
437	0.2484354213	0.9206586826
438	0.2475788675	0.9221556886
439	0.247349149	0.9206586826
440	0.2470196619	0.9206586826
441	0.246974324	0.9206586826
442	0.2467800117	0.9206586826
443	0.2462157281	0.9206586826
444	0.2455488234	0.9221556886
445	0.2454992269	0.9206586826
446	0.2454823466	0.9206586826
447	0.2451277417	0.9221556886
448	0.2451061977	0.9221556886
449	0.2450824536	0.9221556886
450	0.2447372781	0.9206586826
451	0.2442383862	0.9206586826
452	0.2437505598	0.9206586826
453	0.2434299759	0.9236526946
454	0.2430659568	0.9236526946
455	0.2430270417	0.9236526946
456	0.2427738858	0.9236526946
457	0.2425688064	0.9236526946
458	0.2424027047	0.9236526946
459	0.2420582584	0.9236526946
460	0.2415431862	0.9236526946
461	0.2412623126	0.9236526946
462	0.2409588674	0.9236526946
463	0.2406763079	0.9236526946
464	0.2401859678	0.9236526946
465	0.2398564001	0.9236526946
466	0.2394755934	0.9251497006
467	0.239436931	0.9251497006
468	0.2391093002	0.9251497006
469	0.2386625172	0.9251497006
470	0.2381872339	0.9251497006
471	0.2376055075	0.9236526946
472	0.2369852521	0.9236526946
473	0.2367770947	0.9236526946
474	0.2366902334	0.9236526946
475	0.2364978025	0.9251497006
476	0.235951465	0.9266467066
477	0.2357714956	0.9266467066
478	0.2356673774	0.9266467066
479	0.2352692081	0.9251497006
480	0.2351312473	0.9251497006
481	0.2348799601	0.9251497006
482	0.2344201771	0.9266467066
483	0.2339024688	0.9281437126
484	0.2337993459	0.9281437126
485	0.2336697914	0.9281437126
486	0.2332567754	0.9296407186
487	0.2326517328	0.9296407186
488	0.232482787	0.9281437126
489	0.232283346	0.9296407186
490	0.2318461265	0.9296407186
491	0.2316778152	0.9281437126
492	0.2312692608	0.9281437126
493	0.2311996719	0.9281437126
494	0.2310230504	0.9281437126
495	0.2309937916	0.9281437126
496	0.2309784047	0.9281437126
497	0.2309378567	0.9281437126
498	0.2307584173	0.9281437126
499	0.2303942704	0.9266467066
500	0.2299915956	0.9266467066
501	0.2299763037	0.9266467066
502	0.2294095348	0.9281437126
503	0.2290032502	0.9281437126
504	0.2286083509	0.9281437126
505	0.2284726754	0.9281437126
506	0.2280682284	0.9281437126
507	0.2279170923	0.9281437126
508	0.2277099753	0.9281437126
509	0.2272629051	0.9281437126
510	0.2272161987	0.9281437126
511	0.2268179996	0.9281437126
512	0.2267750971	0.9281437126
513	0.2263630638	0.9296407186
514	0.2261492192	0.9296407186
515	0.2257929842	0.9296407186
516	0.2256643045	0.9296407186
517	0.2251149247	0.9296407186
518	0.2244045999	0.9311377246
519	0.2239187379	0.9311377246
520	0.2236434502	0.9311377246
521	0.2233772541	0.9311377246
522	0.2231432102	0.9311377246
523	0.2228520326	0.9311377246
524	0.2225748313	0.9311377246
525	0.2223664713	0.9311377246
526	0.2223400695	0.9311377246
527	0.2220189212	0.9311377246
528	0.2217846421	0.9311377246
529	0.2214846261	0.9311377246
530	0.2211278744	0.9326347305
531	0.2210115842	0.9326347305
532	0.2204093749	0.9311377246
533	0.2203590416	0.9311377246
534	0.2200486596	0.9326347305
535	0.2195000492	0.9326347305
536	0.219345597	0.9326347305
537	0.2192746845	0.9326347305
538	0.2190067206	0.9326347305
539	0.2189001321	0.9341317365
540	0.2187513056	0.9341317365
541	0.2184514077	0.9341317365
542	0.2183677839	0.9341317365
543	0.2183437854	0.9341317365
544	0.2180894156	0.9356287425
545	0.2179381072	0.9341317365
546	0.2178779668	0.9341317365
547	0.2176537319	0.9356287425
548	0.2175998158	0.9356287425
549	0.2170950017	0.9356287425
550	0.2168404821	0.9356287425
551	0.2168098587	0.9356287425
552	0.2165879006	0.9356287425
553	0.2162678109	0.9356287425
554	0.2160271315	0.9356287425
555	0.215848568	0.9356287425
556	0.2156300104	0.9371257485
557	0.2154524295	0.9371257485
558	0.2153957652	0.9371257485
559	0.2153603493	0.9371257485
560	0.2153033518	0.9371257485
561	0.2152632726	0.9371257485
562	0.2148556412	0.9386227545
563	0.2148436311	0.9386227545
564	0.2148227893	0.9386227545
565	0.2147964772	0.9386227545
566	0.2146438155	0.9386227545
567	0.2144449844	0.9386227545
568	0.2142730646	0.9386227545
569	0.21425584	0.9386227545
570	0.2139707751	0.9386227545
571	0.2137729806	0.9386227545
572	0.2136809718	0.9386227545
573	0.2133414136	0.9386227545
574	0.2132676029	0.9386227545
575	0.2127804863	0.9386227545
576	0.212457796	0.9371257485
577	0.2124095591	0.9371257485
578	0.2121429675	0.9371257485
579	0.2120690065	0.9371257485
580	0.2120014241	0.9371257485
581	0.2116057557	0.9386227545
582	0.2115861705	0.9386227545
583	0.2112349952	0.9386227545
584	0.2110964586	0.9386227545
585	0.2109454836	0.9401197605
586	0.2105431363	0.9401197605
587	0.2104800977	0.9401197605
588	0.2104397091	0.9401197605
589	0.2104014757	0.9401197605
590	0.210296833	0.9401197605
591	0.2097521568	0.9401197605
592	0.2095017428	0.9401197605
593	0.2091593496	0.9401197605
594	0.2091078514	0.9401197605
595	0.2089828242	0.9401197605
596	0.2089574097	0.9401197605
597	0.2088315352	0.9401197605
598	0.2087161362	0.9401197605
599	0.2082829397	0.9401197605
600	0.2079267522	0.9401197605
601	0.2075646581	0.9401197605
602	0.2074098386	0.9401197605
603	0.2071487968	0.9401197605
604	0.2069985813	0.9401197605
605	0.2068761657	0.9401197605
606	0.2068542479	0.9401197605
607	0.2064716838	0.9401197605
608	0.2062887189	0.9401197605
609	0.206147507	0.9401197605
610	0.2058912462	0.9401197605
611	0.2057074549	0.9401197605
612	0.2056602732	0.9416167665
613	0.2054581862	0.9416167665
614	0.204888229	0.9416167665
615	0.2047386916	0.9416167665
616	0.2046301257	0.9401197605
617	0.2045657687	0.9401197605
618	0.2043467806	0.9416167665
619	0.2043296188	0.9416167665
620	0.2042009834	0.9431137725
621	0.2041372454	0.9431137725
622	0.2041260575	0.9416167665
623	0.2040371432	0.9416167665
624	0.2040142329	0.9416167665
625	0.2039421086	0.9416167665
626	0.2036052278	0.9431137725
627	0.2031970143	0.9431137725
628	0.2030926564	0.9431137725
629	0.202968775	0.9431137725
630	0.2028402951	0.9431137725
631	0.202725911	0.9431137725
632	0.2025504197	0.9431137725
633	0.2019822359	0.9416167665
634	0.2013881909	0.9416167665
635	0.2013622818	0.9416167665
636	0.2008415051	0.9416167665
637	0.2003874416	0.9416167665
638	0.2000529594	0.9416167665
639	0.1999540544	0.9416167665
640	0.199922746	0.9416167665
641	0.1994433097	0.9416167665
642	0.1990341554	0.9416167665
643	0.1989935945	0.9416167665
644	0.1988306276	0.9431137725
645	0.1982745138	0.9446107784
646	0.1979862654	0.9446107784
647	0.1979044327	0.9446107784
648	0.1978249822	0.9461077844
649	0.1973342528	0.9431137725
650	0.1970724914	0.9431137725
651	0.1970137783	0.9431137725
652	0.1969870334	0.9431137725
653	0.1969621542	0.9446107784
654	0.1969322482	0.9446107784
655	0.1968168012	0.9461077844
656	0.196546194	0.9461077844
657	0.1962347604	0.9461077844
658	0.1961597335	0.9476047904
659	0.1956394216	0.9461077844
660	0.1956236914	0.9476047904
661	0.1954545075	0.9476047904
662	0.1951190011	0.9476047904
663	0.195009862	0.9476047904
664	0.194898938	0.9476047904
665	0.194547401	0.9476047904
666	0.1944860515	0.9476047904
667	0.1943174301	0.9476047904
668	0.1941497683	0.9476047904
669	0.1938049436	0.9476047904
670	0.1934186594	0.9476047904
671	0.1932050217	0.9476047904
672	0.1931092674	0.9476047904
673	0.1926277789	0.9476047904
674	0.1925318141	0.9476047904
675	0.1923053378	0.9476047904
676	0.1922277419	0.9476047904
677	0.1918858781	0.9476047904
678	0.1918759292	0.9476047904
679	0.1917758385	0.9476047904
680	0.1915826453	0.9476047904
681	0.1910738715	0.9476047904
682	0.1910487783	0.9476047904
683	0.1908834548	0.9476047904
684	0.1906554941	0.9476047904
685	0.1904783934	0.9476047904
686	0.1903402946	0.9505988024
687	0.1895302237	0.9491017964
688	0.1894939719	0.9505988024
689	0.1889762899	0.9491017964
690	0.188925581	0.9491017964
691	0.1886122604	0.9491017964
692	0.1884658435	0.9491017964
693	0.1882047907	0.9491017964
694	0.1879432236	0.9491017964
695	0.1876886934	0.9491017964
696	0.1875217022	0.9505988024
697	0.1874185973	0.9505988024
698	0.1873210958	0.9505988024
699	0.1872601747	0.9505988024
700	0.1868296397	0.9505988024
701	0.1868026511	0.9505988024
702	0.1865872475	0.9505988024
703	0.1863770769	0.9505988024
704	0.1859379413	0.9505988024
705	0.1856381328	0.9505988024
706	0.1854719411	0.9505988024
707	0.1853721083	0.9505988024
708	0.1847923014	0.9505988024
709	0.1846627601	0.9505988024
710	0.1844433896	0.9505988024
711	0.1841343372	0.9505988024
712	0.1838292705	0.9505988024
713	0.1836811137	0.9505988024
714	0.1832701685	0.9505988024
715	0.183089851	0.9491017964
716	0.1830406892	0.9491017964
717	0.183025873	0.9505988024
718	0.1828895606	0.9520958084
719	0.1828500356	0.9520958084
720	0.1824732563	0.9520958084
721	0.1822842364	0.9520958084
722	0.1822372821	0.9520958084
723	0.1821655539	0.9520958084
724	0.1819344304	0.9520958084
725	0.1818411668	0.9520958084
726	0.1817380618	0.9520958084
727	0.1816047865	0.9520958084
728	0.1815814275	0.9520958084
729	0.1812727346	0.9520958084
730	0.1811188118	0.9520958084
731	0.1806570502	0.9520958084
732	0.1805770158	0.9520958084
733	0.1804532056	0.9520958084
734	0.18034246	0.9520958084
735	0.180180595	0.9520958084
736	0.1800339035	0.9520958084
737	0.1800264524	0.9520958084
738	0.1797251821	0.9520958084
739	0.1796242517	0.9520958084
740	0.1795858542	0.9520958084
741	0.1795069023	0.9520958084
742	0.1794996812	0.9520958084
743	0.1793166362	0.9520958084
744	0.1792689965	0.9520958084
745	0.1792612058	0.9520958084
746	0.1792506138	0.9520958084
747	0.1788164871	0.9520958084
748	0.1785048701	0.9535928144
749	0.1782868862	0.9535928144
750	0.178250705	0.9535928144
751	0.1781301072	0.9535928144
752	0.1779911888	0.9535928144
753	0.1779738293	0.9535928144
754	0.1779184284	0.9535928144
755	0.1776879552	0.9535928144
756	0.1772656184	0.9535928144
757	0.176971775	0.9535928144
758	0.176955787	0.9535928144
759	0.1768759522	0.9535928144
760	0.1766602888	0.9535928144
761	0.1763260224	0.9535928144
762	0.1759085903	0.9550898204
763	0.1756568642	0.9550898204
764	0.1756382431	0.9550898204
765	0.1753263962	0.9550898204
766	0.1752083876	0.9550898204
767	0.1749531136	0.9550898204
768	0.1749129464	0.9550898204
769	0.1745285905	0.9550898204
770	0.1745227698	0.9550898204
771	0.1741362114	0.9550898204
772	0.1737494463	0.9550898204
773	0.1737326069	0.9550898204
774	0.1735426011	0.9550898204
775	0.1732703594	0.9550898204
776	0.1731675868	0.9550898204
777	0.1727833232	0.9550898204
778	0.1725706273	0.9550898204
779	0.172407985	0.9550898204
780	0.1723275018	0.9550898204
781	0.1722496188	0.9550898204
782	0.1720383881	0.9550898204
783	0.1719609294	0.9550898204
784	0.1716785103	0.9550898204
785	0.1714882375	0.9550898204
786	0.1714740474	0.9550898204
787	0.1713764809	0.9550898204
788	0.171246814	0.9550898204
789	0.1710338275	0.9550898204
790	0.1706573813	0.9550898204
791	0.1705915318	0.9550898204
792	0.1704172706	0.9550898204
793	0.1701836454	0.9550898204
794	0.1699332314	0.9550898204
795	0.1697321216	0.9550898204
796	0.1695179805	0.9550898204
797	0.1694672998	0.9550898204
798	0.1693439219	0.9550898204
799	0.1693257746	0.9550898204
800	0.1691649121	0.9550898204
801	0.1691580283	0.9550898204
802	0.1689560814	0.9550898204
803	0.1688706442	0.9550898204
804	0.1688570724	0.9550898204
805	0.1687736965	0.9550898204
806	0.168706505	0.9550898204
807	0.1685706102	0.9550898204
808	0.1684497286	0.9550898204
809	0.1683977976	0.9550898204
810	0.1682419229	0.9550898204
811	0.1680623197	0.9550898204
812	0.1679816714	0.9550898204
813	0.1675967519	0.9550898204
814	0.1673342955	0.9550898204
815	0.166933796	0.9550898204
816	0.1667863818	0.9550898204
817	0.1667161191	0.9550898204
818	0.1663339494	0.9550898204
819	0.1662892968	0.9550898204
820	0.1661123778	0.9550898204
821	0.1660268385	0.9550898204
822	0.1659539467	0.9550898204
823	0.1658216412	0.9550898204
824	0.1655259945	0.9550898204
825	0.1654129856	0.9550898204
826	0.1653256827	0.9550898204
827	0.1652052289	0.9550898204
828	0.1650794664	0.9550898204
829	0.1647943082	0.9550898204
830	0.1642399889	0.9550898204
831	0.1639167764	0.9550898204
832	0.1638494343	0.9550898204
833	0.1638333422	0.9550898204
834	0.1637108001	0.9550898204
835	0.1636520925	0.9550898204
836	0.1633178398	0.9550898204
837	0.1629881502	0.9550898204
838	0.1629508066	0.9550898204
839	0.1628018796	0.9550898204
840	0.1627208045	0.9550898204
841	0.1625729009	0.9550898204
842	0.1623359023	0.9550898204
843	0.1621926584	0.9565868263
844	0.1621697635	0.9550898204
845	0.1621497494	0.9550898204
846	0.1617726987	0.9550898204
847	0.1617085039	0.9550898204
848	0.1613583089	0.9550898204
849	0.1610413466	0.9565868263
850	0.160997645	0.9565868263
851	0.160928707	0.9565868263
852	0.160916801	0.9565868263
853	0.1607447608	0.9565868263
854	0.1606260896	0.9550898204
855	0.1603039614	0.9580838323
856	0.1601758891	0.9565868263
857	0.1601546705	0.9565868263
858	0.1599293197	0.9580838323
859	0.1597356816	0.9580838323
860	0.1595633895	0.9580838323
861	0.1594357391	0.9580838323
862	0.1593813127	0.9580838323
863	0.1593229333	0.9580838323
864	0.1587775694	0.9580838323
865	0.1586251939	0.9580838323
866	0.1586137551	0.9580838323
867	0.1585143947	0.9580838323
868	0.1584100361	0.9580838323
869	0.158261098	0.9580838323
870	0.1580363717	0.9595808383
871	0.1577862898	0.9610778443
872	0.1575010123	0.9610778443
873	0.1572197115	0.9610778443
874	0.1571716653	0.9610778443
875	0.1570976435	0.9610778443
876	0.1569863497	0.9610778443
877	0.156699064	0.9610778443
878	0.1566554117	0.9610778443
